type_area,price,price_sqft,value_area_sqft,possession_year,ready_to_move,years_until_possession,bhk,project_name,locality,floor_type,floor_num,total_floors,transaction_code,furnishing_code,facing_angle,facing_North,facing_North-East,facing_East,facing_South-East,facing_South,facing_South-West,facing_West,facing_North-West,extra_Garden/Park,extra_Pool,extra_Main Road
3,2500000.0,3870.0,646.0,2025.0,1,0.0,1.0,121,34,1,5.0,14.0,1,122,-1.0,0,0,0,0,0,0,0,0,1,0,1
1,3300000.0,2887.0,800.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,1,1,1
1,4250000.0,4363.0,681.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,1,1,1
1,4770000.0,3655.0,718.0,2024.0,0,-1.0,2.0,1272,202,1,4.0,7.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4800000.0,3771.0,1273.0,2025.0,1,0.0,2.0,1279,66,1,5.0,5.0,1,84,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4750000.0,4378.0,572.0,2024.0,0,-1.0,2.0,974,180,1,8.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4950000.0,4501.0,582.0,2025.0,0,0.0,2.0,342,79,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3900000.0,3594.0,597.0,2025.0,1,0.0,2.0,974,180,1,8.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,4490.0,642.0,2025.0,1,0.0,2.0,602,180,1,4.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,4678.0,1026.0,2025.0,1,0.0,2.0,1040,66,1,4.0,7.0,1,30,0.0,1,0,0,0,0,0,0,0,0,0,0
1,4950000.0,4562.0,583.0,2024.0,0,-1.0,2.0,974,180,1,6.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,5000000.0,5051.0,765.0,2025.0,1,0.0,2.0,696,71,1,9.0,10.0,1,84,0.0,1,0,0,0,0,0,0,0,0,0,0
1,2800000.0,3306.0,592.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,1,1,1
3,4550000.0,3792.0,1200.0,2028.0,0,3.0,2.0,940,34,1,1.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,3678.0,717.0,2025.0,1,0.0,2.0,1013,146,1,4.0,9.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4000000.0,3419.0,720.0,2025.0,1,0.0,2.0,1272,202,1,1.0,7.0,1,122,270.0,0,0,0,0,0,0,1,0,0,0,0
1,4500000.0,4091.0,770.0,2025.0,1,0.0,3.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,1,1,1
3,5000000.0,3876.0,1290.0,2025.0,1,0.0,2.0,1272,202,1,2.0,5.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4500000.0,4762.0,850.0,2025.0,1,0.0,2.0,167,60,1,4.0,5.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3000000.0,2604.0,806.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4200000.0,3889.0,1080.0,2025.0,1,0.0,2.0,75,26,1,5.0,5.0,1,122,270.0,0,0,0,0,0,0,1,0,0,0,0
3,4600000.0,4368.0,1053.0,2025.0,1,0.0,2.0,328,34,1,3.0,5.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4500000.0,4762.0,810.0,2025.0,1,0.0,2.0,655,191,1,3.0,3.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,2400000.0,3000.0,650.0,2025.0,1,0.0,1.0,686,208,1,1.0,5.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,3030.0,1305.0,2025.0,1,0.0,3.0,1073,208,1,7.0,7.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,5000000.0,5447.0,918.0,2025.0,1,0.0,2.0,1272,202,1,3.0,5.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,4424.0,610.0,2025.0,1,0.0,2.0,974,180,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4340000.0,4000.0,597.0,2025.0,1,0.0,2.0,974,180,1,1.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,5500000.0,4400.0,650.0,2024.0,0,-1.0,2.0,1359,61,1,8.0,12.0,1,122,-1.0,0,0,0,0,0,0,0,0,1,0,0
1,4500000.0,4500.0,800.0,2025.0,1,0.0,2.0,1272,202,1,0.0,4.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4600000.0,3902.0,1179.0,2025.0,1,0.0,2.0,1353,137,1,6.0,7.0,1,30,90.0,0,0,1,0,0,0,0,0,0,0,0
1,2850000.0,2591.0,770.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,1,1,1
1,2750000.0,4297.0,480.0,2025.0,1,0.0,1.0,1194,85,1,3.0,5.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4500000.0,3814.0,900.0,2025.0,1,0.0,2.0,340,40,1,6.0,11.0,1,84,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4500000.0,5501.0,540.0,2025.0,1,0.0,2.0,1272,202,1,7.0,7.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4210000.0,3880.0,1085.0,2024.0,0,-1.0,2.0,974,180,1,6.0,14.0,1,122,-1.0,0,0,0,0,0,0,0,0,1,0,0
1,4220000.0,3271.0,710.0,2027.0,0,2.0,2.0,1156,180,1,9.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,1850000.0,2705.0,684.0,2025.0,1,0.0,1.0,1339,208,1,6.0,7.0,1,122,0.0,1,0,0,0,0,0,0,0,0,0,0
1,2450000.0,2130.0,805.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4500000.0,3906.0,806.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,97,-1.0,0,0,0,0,0,0,0,0,1,1,1
1,2800000.0,2828.0,693.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,2400000.0,2446.0,686.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,3650000.0,3096.0,825.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,57,-1.0,0,0,0,0,0,0,0,0,1,1,1
1,5200000.0,3852.0,810.0,2025.0,1,0.0,2.0,1272,202,1,9.0,11.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,3000000.0,2857.0,550.0,2025.0,1,0.0,1.0,1272,202,1,3.0,5.0,1,122,0.0,1,0,0,0,0,0,0,0,0,0,0
1,2350000.0,3348.0,491.0,2025.0,1,0.0,1.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
